ID,Dutch_Orig,English_gloss,High_Language_HL,Contemporary_Equiv_HL,Low_Language_LL,Contemporary_Equiv_LL,Remarks_Split,Remarks_Category,Remarks_Orig,pagenum
3,De sterren,The stars,peloa,—,kenoeaij-noekie (kleine maan),kanña nuik,ME: ko’mim ‘star’ (Kähler p. 123 ka’õmĩmĩ ‘star in the Milky Way’),Rm_Contemporary_Enggano_Translation,"HL: cf. Kähler p. 19 e-ʔaperúã͜u (PAN *bituqən rather unlikely, which has the Enggano reflex ẽ-pẽkõ ‘evening star’ acc. to Edwards 2015:97-98);
LL: literally ‘small moon’ (acc. to Engga, some speakers might call a star kanña nuik ‘small moon’)
ME: ko’mim ‘star’ (Kähler p. 123 ka’õmĩmĩ ‘star in the Milky Way’)",1
4,De zee,The sea,oeweh,yu,Praboh’e,—,HL: Kähler p. 283 ’ue ‘sea’ (PAN *wahiR unlikely),Rm_HL,"HL: Kähler p. 283 ’ue ‘sea’ (PAN *wahiR unlikely)
OE #V > #iV
LL: Kähler p. 241 eparoba ‘deep sea’, etymology unclear
ME: yu ‘sea’",1
4,De zee,The sea,oeweh,yu,Praboh’e,—,"LL: Kähler p. 241 eparoba ‘deep sea’, etymology unclear",Rm_LL,"HL: Kähler p. 283 ’ue ‘sea’ (PAN *wahiR unlikely)
OE #V > #iV
LL: Kähler p. 241 eparoba ‘deep sea’, etymology unclear
ME: yu ‘sea’",1
4,De zee,The sea,oeweh,yu,Praboh’e,—,OE #V > #iV,Rm_Sound_Changes,"HL: Kähler p. 283 ’ue ‘sea’ (PAN *wahiR unlikely)
OE #V > #iV
LL: Kähler p. 241 eparoba ‘deep sea’, etymology unclear
ME: yu ‘sea’",1
4,De zee,The sea,oeweh,yu,Praboh’e,—,ME: yu ‘sea’,Rm_Contemporary_Enggano_Translation,"HL: Kähler p. 283 ’ue ‘sea’ (PAN *wahiR unlikely)
OE #V > #iV
LL: Kähler p. 241 eparoba ‘deep sea’, etymology unclear
ME: yu ‘sea’",1
5,De aarde,The earth,loppoh,dop,,,OE V# > ME Ø,Rm_Sound_Changes,"Kähler p. 47 edoppoẽtopoẽlopo ‘land, earth, weather’, etymology unclear
OE V# > ME Ø
OE l > ME d
ME: dop ‘land, earth’",1
5,De aarde,The earth,loppoh,dop,,,OE l > ME d,Rm_Sound_Changes,"Kähler p. 47 edoppoẽtopoẽlopo ‘land, earth, weather’, etymology unclear
OE V# > ME Ø
OE l > ME d
ME: dop ‘land, earth’",1
5,De aarde,The earth,loppoh,dop,,,"ME: dop ‘land, earth’",Rm_Contemporary_Enggano_Translation,"Kähler p. 47 edoppoẽtopoẽlopo ‘land, earth, weather’, etymology unclear
OE V# > ME Ø
OE l > ME d
ME: dop ‘land, earth’",1
5,De aarde,The earth,loppoh,dop,,,"Kähler p. 47 edoppoẽtopoẽlopo ‘land, earth, weather’, etymology unclear",Rm_Kahler,"Kähler p. 47 edoppoẽtopoẽlopo ‘land, earth, weather’, etymology unclear
OE V# > ME Ø
OE l > ME d
ME: dop ‘land, earth’",1
6,Water,water,é-boh,bė,Lebo-leboh,—,"HL: Kähler p. 28 ebõ ‘rain, water, river’, but cf. Kähler p. 26 ebē ‘sap, liquid’ (< PAN *wahiR acc. to Edwards 2015:94-97)",Rm_HL,"HL: Kähler p. 28 ebõ ‘rain, water, river’, but cf. Kähler p. 26 ebē ‘sap, liquid’ (< PAN *wahiR acc. to Edwards 2015:94-97)
OE o > ME ė
LL: unclear, perhaps variant of ebõ
ME: bė ‘water’",2
6,Water,water,é-boh,bė,Lebo-leboh,—,"LL: unclear, perhaps variant of ebõ",Rm_LL,"HL: Kähler p. 28 ebõ ‘rain, water, river’, but cf. Kähler p. 26 ebē ‘sap, liquid’ (< PAN *wahiR acc. to Edwards 2015:94-97)
OE o > ME ė
LL: unclear, perhaps variant of ebõ
ME: bė ‘water’",2
6,Water,water,é-boh,bė,Lebo-leboh,—,OE o > ME ė,Rm_Sound_Changes,"HL: Kähler p. 28 ebõ ‘rain, water, river’, but cf. Kähler p. 26 ebē ‘sap, liquid’ (< PAN *wahiR acc. to Edwards 2015:94-97)
OE o > ME ė
LL: unclear, perhaps variant of ebõ
ME: bė ‘water’",2
6,Water,water,é-boh,bė,Lebo-leboh,—,ME: bė ‘water’,Rm_Contemporary_Enggano_Translation,"HL: Kähler p. 28 ebõ ‘rain, water, river’, but cf. Kähler p. 26 ebē ‘sap, liquid’ (< PAN *wahiR acc. to Edwards 2015:94-97)
OE o > ME ė
LL: unclear, perhaps variant of ebõ
ME: bė ‘water’",2
7,Steenen,stone,ééah,ye,pakoe-pakoe,—,"HL: Kähler p. 50 e’ea ‘stone’, etymology unclear but cf. Modigliani (1894:277) eèa ‘coral reef’ (cf. Malay batu karang, lit. ‘coral stone’)",Rm_HL,"HL: Kähler p. 50 e’ea ‘stone’, etymology unclear but cf. Modigliani (1894:277) eèa ‘coral reef’ (cf. Malay batu karang, lit. ‘coral stone’)
OE #V > #iV
LL: Kähler p. 236 (ẽa)pakũ ‘anchor, headcover cylinder for women’), the headcover is also explained in Mod. p. 153 epácu, p. 156-160, vRos 1855:209, Marschall 1982:30, Keuning p. 177?)
ME: ye ‘stone’",2
7,Steenen,stone,ééah,ye,pakoe-pakoe,—,"LL: Kähler p. 236 (ẽa)pakũ ‘anchor, headcover cylinder for women’), the headcover is also explained in Mod. p. 153 epácu, p. 156-160, vRos 1855:209, Marschall 1982:30, Keuning p. 177?)",Rm_LL,"HL: Kähler p. 50 e’ea ‘stone’, etymology unclear but cf. Modigliani (1894:277) eèa ‘coral reef’ (cf. Malay batu karang, lit. ‘coral stone’)
OE #V > #iV
LL: Kähler p. 236 (ẽa)pakũ ‘anchor, headcover cylinder for women’), the headcover is also explained in Mod. p. 153 epácu, p. 156-160, vRos 1855:209, Marschall 1982:30, Keuning p. 177?)
ME: ye ‘stone’",2
7,Steenen,stone,ééah,ye,pakoe-pakoe,—,OE #V > #iV,Rm_Sound_Changes,"HL: Kähler p. 50 e’ea ‘stone’, etymology unclear but cf. Modigliani (1894:277) eèa ‘coral reef’ (cf. Malay batu karang, lit. ‘coral stone’)
OE #V > #iV
LL: Kähler p. 236 (ẽa)pakũ ‘anchor, headcover cylinder for women’), the headcover is also explained in Mod. p. 153 epácu, p. 156-160, vRos 1855:209, Marschall 1982:30, Keuning p. 177?)
ME: ye ‘stone’",2
7,Steenen,stone,ééah,ye,pakoe-pakoe,—,ME: ye ‘stone’,Rm_Contemporary_Enggano_Translation,"HL: Kähler p. 50 e’ea ‘stone’, etymology unclear but cf. Modigliani (1894:277) eèa ‘coral reef’ (cf. Malay batu karang, lit. ‘coral stone’)
OE #V > #iV
LL: Kähler p. 236 (ẽa)pakũ ‘anchor, headcover cylinder for women’), the headcover is also explained in Mod. p. 153 epácu, p. 156-160, vRos 1855:209, Marschall 1982:30, Keuning p. 177?)
ME: ye ‘stone’",2
8,Vuur,fire,apoeah,—,obie,yėb,"HL: likely a variant of LL, also from PAN *Sapuy where the /a/ and /p/ are regular",Rm_HL,"HL: likely a variant of LL, also from PAN *Sapuy where the /a/ and /p/ are regular
LL: Kähler p. 213 e’obi < PAN *Sapuy acc. to Edwards 2015:97-98 but with irr. *a > /o/ and irr. *p > /b/ (cf. HL)
OE o > ME ė
OE V# > ME Ø
ME: yėb ‘fire’",2
8,Vuur,fire,apoeah,—,obie,yėb,LL: Kähler p. 213 e’obi < PAN *Sapuy acc. to Edwards 2015:97-98 but with irr. *a > /o/ and irr. *p > /b/ (cf. HL),Rm_LL,"HL: likely a variant of LL, also from PAN *Sapuy where the /a/ and /p/ are regular
LL: Kähler p. 213 e’obi < PAN *Sapuy acc. to Edwards 2015:97-98 but with irr. *a > /o/ and irr. *p > /b/ (cf. HL)
OE o > ME ė
OE V# > ME Ø
ME: yėb ‘fire’",2
8,Vuur,fire,apoeah,—,obie,yėb,OE o > ME ė,Rm_Sound_Changes,"HL: likely a variant of LL, also from PAN *Sapuy where the /a/ and /p/ are regular
LL: Kähler p. 213 e’obi < PAN *Sapuy acc. to Edwards 2015:97-98 but with irr. *a > /o/ and irr. *p > /b/ (cf. HL)
OE o > ME ė
OE V# > ME Ø
ME: yėb ‘fire’",2
8,Vuur,fire,apoeah,—,obie,yėb,OE V# > ME Ø,Rm_Sound_Changes,"HL: likely a variant of LL, also from PAN *Sapuy where the /a/ and /p/ are regular
LL: Kähler p. 213 e’obi < PAN *Sapuy acc. to Edwards 2015:97-98 but with irr. *a > /o/ and irr. *p > /b/ (cf. HL)
OE o > ME ė
OE V# > ME Ø
ME: yėb ‘fire’",2
8,Vuur,fire,apoeah,—,obie,yėb,ME: yėb ‘fire’,Rm_Contemporary_Enggano_Translation,"HL: likely a variant of LL, also from PAN *Sapuy where the /a/ and /p/ are regular
LL: Kähler p. 213 e’obi < PAN *Sapuy acc. to Edwards 2015:97-98 but with irr. *a > /o/ and irr. *p > /b/ (cf. HL)
OE o > ME ė
OE V# > ME Ø
ME: yėb ‘fire’",2
9,Rivier,river,baka-oewah,bak iu,beloea,bero,"HL: Kähler p. 25 ‘shipping channel in the reef’ (IN sawang), still used in ME",Rm_HL,"HL: Kähler p. 25 ‘shipping channel in the reef’ (IN sawang), still used in ME
OE V# > ME Ø
LL: Kähler p. 26 bedoa ‘river, estuary’, etymology unclear, but Sikule has eloa and Simeulue has luan
OE l > ME r
ME: bak iu ‘shipping channel’, bero ‘river’",2
9,Rivier,river,baka-oewah,bak iu,beloea,bero,"LL: Kähler p. 26 bedoa ‘river, estuary’, etymology unclear, but Sikule has eloa and Simeulue has luan",Rm_LL,"HL: Kähler p. 25 ‘shipping channel in the reef’ (IN sawang), still used in ME
OE V# > ME Ø
LL: Kähler p. 26 bedoa ‘river, estuary’, etymology unclear, but Sikule has eloa and Simeulue has luan
OE l > ME r
ME: bak iu ‘shipping channel’, bero ‘river’",2
9,Rivier,river,baka-oewah,bak iu,beloea,bero,OE V# > ME Ø,Rm_Sound_Changes,"HL: Kähler p. 25 ‘shipping channel in the reef’ (IN sawang), still used in ME
OE V# > ME Ø
LL: Kähler p. 26 bedoa ‘river, estuary’, etymology unclear, but Sikule has eloa and Simeulue has luan
OE l > ME r
ME: bak iu ‘shipping channel’, bero ‘river’",2
9,Rivier,river,baka-oewah,bak iu,beloea,bero,OE l > ME r,Rm_Sound_Changes,"HL: Kähler p. 25 ‘shipping channel in the reef’ (IN sawang), still used in ME
OE V# > ME Ø
LL: Kähler p. 26 bedoa ‘river, estuary’, etymology unclear, but Sikule has eloa and Simeulue has luan
OE l > ME r
ME: bak iu ‘shipping channel’, bero ‘river’",2
9,Rivier,river,baka-oewah,bak iu,beloea,bero,"ME: bak iu ‘shipping channel’, bero ‘river’",Rm_Contemporary_Enggano_Translation,"HL: Kähler p. 25 ‘shipping channel in the reef’ (IN sawang), still used in ME
OE V# > ME Ø
LL: Kähler p. 26 bedoa ‘river, estuary’, etymology unclear, but Sikule has eloa and Simeulue has luan
OE l > ME r
ME: bak iu ‘shipping channel’, bero ‘river’",2
10,Berg,mountain,koh,kėh,pawah,—,"HL: Kähler p. 160 kóhõ͜i ‘mountain, hill’, etymology unclear ",Rm_HL,"HL: Kähler p. 160 kóhõ͜i ‘mountain, hill’, etymology unclear 
LL: unclear, but cf. Kähler p. 242 paũpa’a ‘pile up arbitrarily’ 
OE o > ME ė
ME: kėh ‘mountain’",2
10,Berg,mountain,koh,kėh,pawah,—,"LL: unclear, but cf. Kähler p. 242 paũpa’a ‘pile up arbitrarily’ ",Rm_LL,"HL: Kähler p. 160 kóhõ͜i ‘mountain, hill’, etymology unclear 
LL: unclear, but cf. Kähler p. 242 paũpa’a ‘pile up arbitrarily’ 
OE o > ME ė
ME: kėh ‘mountain’",2
10,Berg,mountain,koh,kėh,pawah,—,OE o > ME ė,Rm_Sound_Changes,"HL: Kähler p. 160 kóhõ͜i ‘mountain, hill’, etymology unclear 
LL: unclear, but cf. Kähler p. 242 paũpa’a ‘pile up arbitrarily’ 
OE o > ME ė
ME: kėh ‘mountain’",2
10,Berg,mountain,koh,kėh,pawah,—,ME: kėh ‘mountain’,Rm_Contemporary_Enggano_Translation,"HL: Kähler p. 160 kóhõ͜i ‘mountain, hill’, etymology unclear 
LL: unclear, but cf. Kähler p. 242 paũpa’a ‘pile up arbitrarily’ 
OE o > ME ė
ME: kėh ‘mountain’",2
11,Bosch,forest,howdah,—,koë-koë,(ho’ku),"HL: unclear, but possibly connected to Kähler p. 80 ehō ‘inside’, is ixō ukue ‘forest, lit. inside the woods’ used in texts?",Rm_HL,"HL: unclear, but possibly connected to Kähler p. 80 ehō ‘inside’, is ixō ukue ‘forest, lit. inside the woods’ used in texts?
LL: Kähler p. 177 ekue ‘forest’, p. 185 ekuo ‘tree, wood, pale’
ME: ho’ku lit. ‘inside the woods’
ME: ku ‘forest, wood’",2
11,Bosch,forest,howdah,—,koë-koë,(ho’ku),"LL: Kähler p. 177 ekue ‘forest’, p. 185 ekuo ‘tree, wood, pale’",Rm_LL,"HL: unclear, but possibly connected to Kähler p. 80 ehō ‘inside’, is ixō ukue ‘forest, lit. inside the woods’ used in texts?
LL: Kähler p. 177 ekue ‘forest’, p. 185 ekuo ‘tree, wood, pale’
ME: ho’ku lit. ‘inside the woods’
ME: ku ‘forest, wood’",2
11,Bosch,forest,howdah,—,koë-koë,(ho’ku),ME: ho’ku lit. ‘inside the woods’,Rm_Contemporary_Enggano_Translation,"HL: unclear, but possibly connected to Kähler p. 80 ehō ‘inside’, is ixō ukue ‘forest, lit. inside the woods’ used in texts?
LL: Kähler p. 177 ekue ‘forest’, p. 185 ekuo ‘tree, wood, pale’
ME: ho’ku lit. ‘inside the woods’
ME: ku ‘forest, wood’",2
11,Bosch,forest,howdah,—,koë-koë,(ho’ku),"ME: ku ‘forest, wood’",Rm_Contemporary_Enggano_Translation,"HL: unclear, but possibly connected to Kähler p. 80 ehō ‘inside’, is ixō ukue ‘forest, lit. inside the woods’ used in texts?
LL: Kähler p. 177 ekue ‘forest’, p. 185 ekuo ‘tree, wood, pale’
ME: ho’ku lit. ‘inside the woods’
ME: ku ‘forest, wood’",2
12,Wit,white,kha-oedaija,kadaih,,,ME: kadaih ‘white’,Rm_Contemporary_Enggano_Translation,"Kähler p. 280 ka’udã͜ixo ‘white, bright, clean’, related to dakixóho ‘noon, on a bright day’ (Kähler p.37)?
ME: kadaih ‘white’",3
12,Wit,white,kha-oedaija,kadaih,,,"Kähler p. 280 ka’udã͜ixo ‘white, bright, clean’, related to dakixóho ‘noon, on a bright day’ (Kähler p.37)?",Rm_Kahler,"Kähler p. 280 ka’udã͜ixo ‘white, bright, clean’, related to dakixóho ‘noon, on a bright day’ (Kähler p.37)?
ME: kadaih ‘white’",3
13,Zwart,black,khah-khoh,kakė h,kahèlo-èloh,—,"LL: Kähler p. 72 kahedo ‘black, dark’",Rm_LL,"HL Kähler p. 159 ka’akõhõ ‘dark, black’
LL: Kähler p. 72 kahedo ‘black, dark’
OE o > ME ė
ME: kakė h ‘black’",3
13,Zwart,black,khah-khoh,kakė h,kahèlo-èloh,—,OE o > ME ė,Rm_Sound_Changes,"HL Kähler p. 159 ka’akõhõ ‘dark, black’
LL: Kähler p. 72 kahedo ‘black, dark’
OE o > ME ė
ME: kakė h ‘black’",3
13,Zwart,black,khah-khoh,kakė h,kahèlo-èloh,—,ME: kakė h ‘black’,Rm_Contemporary_Enggano_Translation,"HL Kähler p. 159 ka’akõhõ ‘dark, black’
LL: Kähler p. 72 kahedo ‘black, dark’
OE o > ME ė
ME: kakė h ‘black’",3
13,Zwart,black,khah-khoh,kakė h,kahèlo-èloh,—,"HL Kähler p. 159 ka’akõhõ ‘dark, black’",Rm_Others,"HL Kähler p. 159 ka’akõhõ ‘dark, black’
LL: Kähler p. 72 kahedo ‘black, dark’
OE o > ME ė
ME: kakė h ‘black’",3
14,Rood,red,kanoeaij,—,kai-koh-koh,(katok),HL: unclear,Rm_HL,"HL: unclear
LL: Kähler p. 162 ka’ikoko ‘red’ (?< ekiaki ‘blood’)
OE k > ME t (or dissimilation?)",3
14,Rood,red,kanoeaij,—,kai-koh-koh,(katok),LL: Kähler p. 162 ka’ikoko ‘red’ (?< ekiaki ‘blood’),Rm_LL,"HL: unclear
LL: Kähler p. 162 ka’ikoko ‘red’ (?< ekiaki ‘blood’)
OE k > ME t (or dissimilation?)",3
14,Rood,red,kanoeaij,—,kai-koh-koh,(katok),OE k > ME t (or dissimilation?),Rm_Sound_Changes,"HL: unclear
LL: Kähler p. 162 ka’ikoko ‘red’ (?< ekiaki ‘blood’)
OE k > ME t (or dissimilation?)",3
15,Groen,green,ka-akiema,—,,,ME: kablao < Dutch blauw ‘blue’,Rm_Contemporary_Enggano_Translation,"Kähler p. 147 ka’akinĩpa~kaäkienafah ‘violet, green, blue, dark blue’
ME: kablao < Dutch blauw ‘blue’",3
15,Groen,green,ka-akiema,—,,,"Kähler p. 147 ka’akinĩpa~kaäkienafah ‘violet, green, blue, dark blue’",Rm_Kahler,"Kähler p. 147 ka’akinĩpa~kaäkienafah ‘violet, green, blue, dark blue’
ME: kablao < Dutch blauw ‘blue’",3
16,Blaauw,blue,ka-prohbah,—,,,ME: kablao < Dutch blauw ‘blue’,Rm_Contemporary_Enggano_Translation,"Kähler p. 241 ka’aparoba ‘deep blue’ < eparoba ‘deep sea’ (cf. ‘sea’ above)
ME: kablao < Dutch blauw ‘blue’",3
16,Blaauw,blue,ka-prohbah,—,,,Kähler p. 241 ka’aparoba ‘deep blue’ < eparoba ‘deep sea’ (cf. ‘sea’ above),Rm_Kahler,"Kähler p. 241 ka’aparoba ‘deep blue’ < eparoba ‘deep sea’ (cf. ‘sea’ above)
ME: kablao < Dutch blauw ‘blue’",3
17,Dag,day,manika-loppoh,kanik dop,,,OE V# > ME Ø (2x),Rm_Sound_Changes,"literally ‘bright earth’, Kähler p. 204 kamanĩka edopo ‘daylight is coming, bright’
OE V# > ME Ø (2x)
OE l > ME d
ME: kanik dop ‘bright day’",3
17,Dag,day,manika-loppoh,kanik dop,,,OE l > ME d,Rm_Sound_Changes,"literally ‘bright earth’, Kähler p. 204 kamanĩka edopo ‘daylight is coming, bright’
OE V# > ME Ø (2x)
OE l > ME d
ME: kanik dop ‘bright day’",3
17,Dag,day,manika-loppoh,kanik dop,,,ME: kanik dop ‘bright day’,Rm_Contemporary_Enggano_Translation,"literally ‘bright earth’, Kähler p. 204 kamanĩka edopo ‘daylight is coming, bright’
OE V# > ME Ø (2x)
OE l > ME d
ME: kanik dop ‘bright day’",3
17,Dag,day,manika-loppoh,kanik dop,,,"literally ‘bright earth’, Kähler p. 204 kamanĩka edopo ‘daylight is coming, bright’",Rm_Others,"literally ‘bright earth’, Kähler p. 204 kamanĩka edopo ‘daylight is coming, bright’
OE V# > ME Ø (2x)
OE l > ME d
ME: kanik dop ‘bright day’",3
18,Nacht,night,kapohpoh-loppoh,kapė pė dop,ko-assaij-loppoh,kako’aih dop,"HL: literally ‘earth becomes dark’, Kähler p. 258 kapõpō ‘become night’",Rm_HL,"HL: literally ‘earth becomes dark’, Kähler p. 258 kapõpō ‘become night’
OE o > ME ė
OE V# > ME Ø (2x)
LL: literally ‘earth becomes dark’, Kähler p. 156 kako’aixa edopo ‘it’s night’, the ‘ss’ most likely represents as mishearing of /ç/
OE l > ME d
ME: kapė pė dop ‘it gets dark’, kako’aih dop ‘it’s night’",3
18,Nacht,night,kapohpoh-loppoh,kapė pė dop,ko-assaij-loppoh,kako’aih dop,"LL: literally ‘earth becomes dark’, Kähler p. 156 kako’aixa edopo ‘it’s night’, the ‘ss’ most likely represents as mishearing of /ç/",Rm_LL,"HL: literally ‘earth becomes dark’, Kähler p. 258 kapõpō ‘become night’
OE o > ME ė
OE V# > ME Ø (2x)
LL: literally ‘earth becomes dark’, Kähler p. 156 kako’aixa edopo ‘it’s night’, the ‘ss’ most likely represents as mishearing of /ç/
OE l > ME d
ME: kapė pė dop ‘it gets dark’, kako’aih dop ‘it’s night’",3
18,Nacht,night,kapohpoh-loppoh,kapė pė dop,ko-assaij-loppoh,kako’aih dop,OE o > ME ė,Rm_Sound_Changes,"HL: literally ‘earth becomes dark’, Kähler p. 258 kapõpō ‘become night’
OE o > ME ė
OE V# > ME Ø (2x)
LL: literally ‘earth becomes dark’, Kähler p. 156 kako’aixa edopo ‘it’s night’, the ‘ss’ most likely represents as mishearing of /ç/
OE l > ME d
ME: kapė pė dop ‘it gets dark’, kako’aih dop ‘it’s night’",3
18,Nacht,night,kapohpoh-loppoh,kapė pė dop,ko-assaij-loppoh,kako’aih dop,OE V# > ME Ø (2x),Rm_Sound_Changes,"HL: literally ‘earth becomes dark’, Kähler p. 258 kapõpō ‘become night’
OE o > ME ė
OE V# > ME Ø (2x)
LL: literally ‘earth becomes dark’, Kähler p. 156 kako’aixa edopo ‘it’s night’, the ‘ss’ most likely represents as mishearing of /ç/
OE l > ME d
ME: kapė pė dop ‘it gets dark’, kako’aih dop ‘it’s night’",3
18,Nacht,night,kapohpoh-loppoh,kapė pė dop,ko-assaij-loppoh,kako’aih dop,OE l > ME d,Rm_Sound_Changes,"HL: literally ‘earth becomes dark’, Kähler p. 258 kapõpō ‘become night’
OE o > ME ė
OE V# > ME Ø (2x)
LL: literally ‘earth becomes dark’, Kähler p. 156 kako’aixa edopo ‘it’s night’, the ‘ss’ most likely represents as mishearing of /ç/
OE l > ME d
ME: kapė pė dop ‘it gets dark’, kako’aih dop ‘it’s night’",3
18,Nacht,night,kapohpoh-loppoh,kapė pė dop,ko-assaij-loppoh,kako’aih dop,"ME: kapė pė dop ‘it gets dark’, kako’aih dop ‘it’s night’",Rm_Contemporary_Enggano_Translation,"HL: literally ‘earth becomes dark’, Kähler p. 258 kapõpō ‘become night’
OE o > ME ė
OE V# > ME Ø (2x)
LL: literally ‘earth becomes dark’, Kähler p. 156 kako’aixa edopo ‘it’s night’, the ‘ss’ most likely represents as mishearing of /ç/
OE l > ME d
ME: kapė pė dop ‘it gets dark’, kako’aih dop ‘it’s night’",3
19,Varken,pig,koijo,koi,abi-abi,—,HL: Kähler p. 172 ekoyo ‘domesticated pig’,Rm_HL,"HL: Kähler p. 172 ekoyo ‘domesticated pig’
OE V# > ME Ø
LL: unclear, but vRos has hawi hawi, vdStraten has abie abie for ‘pig’, Kähler p. 213 has e’obo ‘wild boar’, not recognized by Engga / Milson
ME: koi ‘pig’",3
19,Varken,pig,koijo,koi,abi-abi,—,"LL: unclear, but vRos has hawi hawi, vdStraten has abie abie for ‘pig’, Kähler p. 213 has e’obo ‘wild boar’, not recognized by Engga / Milson",Rm_LL,"HL: Kähler p. 172 ekoyo ‘domesticated pig’
OE V# > ME Ø
LL: unclear, but vRos has hawi hawi, vdStraten has abie abie for ‘pig’, Kähler p. 213 has e’obo ‘wild boar’, not recognized by Engga / Milson
ME: koi ‘pig’",3
19,Varken,pig,koijo,koi,abi-abi,—,OE V# > ME Ø,Rm_Sound_Changes,"HL: Kähler p. 172 ekoyo ‘domesticated pig’
OE V# > ME Ø
LL: unclear, but vRos has hawi hawi, vdStraten has abie abie for ‘pig’, Kähler p. 213 has e’obo ‘wild boar’, not recognized by Engga / Milson
ME: koi ‘pig’",3
